,document_id,wiki_title,num_of_docs,set_up_time
0,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,David Copperfield,43,27.998244524002075
1,934fbd3acf4433a952b49cfc004dd2b363b57faf,Great Expectations,41,26.94615888595581
2,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,The Tenant of Wildfell Hall,48,33.51841330528259
3,65ba9ee675bf87cff5d76e2a27c0652adb69381b,The Prince,45,32.163947343826294
4,39c4fffc8734283d7bd491285d24b55a110c71ba,Agatha Christie,44,30.190227508544922
5,a0dad21d83efe7d9865b299a3f8b343ff50ff7a5,Emma (novel),44,28.372208833694458
6,6a659de3aa344680261aaf152a26bf7a20fe22f2,She: A History of Adventure,42,28.225574731826782
7,ba8ee38aaf59d57090798dcbe0db6ef416af6533,The Mystery of the Sea,48,30.219691038131714
8,9bd99dd1525e23d34c132f256ad8204cdf6fe089,Cousin Bette,44,29.103065729141235
9,44c8278a7dc6f876636f0979bb645cf98ae1df0f,Dream of the Red Chamber,45,27.999945878982544
