,document_id,question_id,question,answer,probability,score,top_k_retriever,time_taken
0,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,85,Where was David born?,"Treboeth, Swansea, Wales",0.7451755847586544,8.58436107635498,,1.6738920211791992
1,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,86,When David was seven who did his mother marry?,Edward Murdstone,0.8928453088380275,16.961118698120117,,2.443936347961426
2,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,87,"To get David out of the way, where was he sent to live by his mother and stepfather?",Yarmouth,0.8422177836455775,13.39858341217041,,2.2476601600646973
3,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,88,With whom is David in love?,Dora Spenlow,0.8970750712976465,17.321117401123047,,1.1437158584594727
4,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,89,Where did Murdstone send David to work in London?,a wine merchant,0.86318189143464,14.735784530639648,,2.2175590991973877
5,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,90,"When David ran away, to which relative did he run?",Betsey Trotwood,0.8479677891143742,13.750001907348633,,2.1798205375671387
6,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,91,What nickname did David's great-aunt call him?,Betsey Trotwood,0.8293003471645101,12.645414352416992,,2.169835329055786
7,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,92,Why was Uriah Heep in prison?,"bank fraud, and awaiting transportation",0.8380560357408459,13.150676727294922,,0.5472729206085205
8,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,93,"To build a new life, where did Peggotty take Emily?",Australia,0.783562797389388,10.29240608215332,,0.6189162731170654
9,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,94,"How did David's wife, Dora Spenlow, die?",at the age of eight months,0.6976437074569212,6.688819408416748,,0.7167665958404541
